condition,clean_accuracy,robust_accuracy,explanation_stability,certified_rate,mean_bound_margin,fairness_gap,verification_cost_ms
Clean model,0.81875,0.54375,0.9277816104911711,0.54375,0.194462467373676,0.039141414141414144,0.2235240099253133
Adversarial input,0.81875,0.54375,0.8623214028120116,0.340625,-0.6601672259501955,0.039141414141414144,0.19032398995477706
Robust defense,0.815625,0.54375,0.9271521316551427,0.54375,0.09104249035693464,0.044823232323232376,0.19179000810254365
XAI stability check,0.815625,0.696875,0.9762520134990966,0.696875,0.47786095748401475,0.044823232323232376,0.19304800662212074
